Turbine, Location, Task, Cost, Duration, Size, Production
0,[(54.95334, 12.46671), 0, 0, 0, 0, 0]
1,[(55.028104301875, 12.779513291016), 'Electrics', 6300.0, 3, 12, 0.2]
2,[(55.016854418444, 12.77313), 'Hydraulics', 6200.0, 3, 14, 0.3]
3,[(55.003387032819, 12.77015), 'Electrics', 6300.0, 3, 12, 0.2]
4,[(54.99236, 12.77152), 'Repair', 5400.0, 4, 11, 0.15]
5,[(54.98211, 12.76328), 'Electrics', 6300.0, 3, 12, 0.2]
6,[(55.037750907567, 12.787749873047), 'Blades', 38000.0, 10, 90, 0.05]
7,[(55.042085465692, 12.814339746094), 'Repair', 5400.0, 4, 11, 0.15]
8,[(55.05109, 12.84455), 'Gearbox', 63500.0, 18, 32, 0.0]
9,[(55.03614, 12.84318), 'Hydraulics', 6200.0, 3, 14, 0.3]
10,[(55.0267, 12.83906), 'Repair', 5400.0, 4, 11, 0.15]
11,[(54.95334, 12.46671), 0, 0, 0, 0, 0]
